"저장소명","공개여부","최초커밋일","최종커밋일","커밋수","주요언어","파일수","GitHub Pages URL","설명"
"MyPage","public","","",,,"0","",""
"Cody-Stat","public","2026-08-23 11:05:39","2026-09-03 13:00:27","25","HTML","26","https://hyun02063185-ax-beginner.github.io/Cody-Stat/",""
"ForSunGun","public","2026-09-02 05:37:25","2026-09-02 05:37:25","1","HTML","8","https://hyun02063185-ax-beginner.github.io/ForSunGun/",""
"Cody_Vibe_Coding","public","","",,,"0","",""
"Mini_NPU","public","2026-08-11 00:23:48","2026-08-11 05:46:50","8","Python","4","","Codyssey 미션3 Mac 연산 실습"
"Codyssey_Lecture","public","2026-07-08 13:21:39","2026-08-10 11:50:45","83","JavaScript","154","https://hyun02063185-ax-beginner.github.io/Codyssey_Lecture/","Codyssey 미션1 내용 정리 "
"codyssey-m3-guide","public","2026-08-10 10:21:17","2026-08-10 10:23:34","2","Python","9","",""
"Quiz_game","public","2026-07-31 07:07:42","2026-08-08 03:15:01","22","Python","9","","코디세이 미션2 파이선 퀴즈만들기"
"codyssey-m2-guide","public","2026-07-31 08:49:44","2026-08-06 00:59:59","13",,"16","","코디세이 미션2 AI 활용 실습진행용 "
"Codyssey_Mission_1","public","2026-07-28 10:02:06","2026-08-05 07:46:05","15","Dockerfile","56","","코디세이 미션1"
"Codyssey_Mission_3","public","2026-08-04 03:26:18","2026-08-04 03:26:18","1",,"1","",""
"Codyssey_Mission_2","public","","",,,"0","",""
"science-qbank-v2","private","2026-06-21 10:09:28","2026-07-25 09:15:05","87","Python","182","","과학문제은행 이미지 크롭 버전"
"AX_Lecture","private","2026-07-08 13:21:39","2026-07-24 07:05:32","76","JavaScript","136","","AX 강의 데모데이 시연용"
"AI_First_Step","private","2026-07-21 14:03:53","2026-07-24 07:05:24","32","JavaScript","135","","AI 기초 이론 및 실습 강의 슬라이드"
"ax-work-clinic-visitor-v1","private","2026-06-24 14:06:44","2026-07-10 06:12:43","51","TypeScript","246","",""
"nanoclaw","private","2026-01-31 16:54:24","2026-07-09 12:22:41","1719","TypeScript","661","","NanoClaw 구축 소스"
"science-qbank","private","2026-06-15 07:43:14","2026-06-17 00:04:18","13","Python","60","","과학문제은행"
