"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\김현래_데모데이_사유의방_화면캡처.pdf","김현래_데모데이_사유의방_화면캡처.pdf","pdf","1591.92","2026-07-15","Desktop",""
"C:\Users\hyun0\Desktop\당신은 30년차 웹서비스 기획자이자 B2B SaaS, UX 전략.txt","당신은 30년차 웹서비스 기획자이자 B2B SaaS, UX 전략.txt","txt","11.69","2026-06-19","Desktop",""
"C:\Users\hyun0\Desktop\수도권2기 데모데이 PPT (1).pdf","수도권2기 데모데이 PPT (1).pdf","pdf","993.79","2026-07-15","Desktop",""
"C:\Users\hyun0\Desktop\전자책 뼈대 설계서.md","전자책 뼈대 설계서.md","md","16.79","2026-06-27","Desktop",""
"C:\Users\hyun0\Desktop\AX 업무 클리닉 목업 디자인 고도화 지시서.txt","AX 업무 클리닉 목업 디자인 고도화 지시서.txt","txt","9.33","2026-06-17","Desktop",""
"C:\Users\hyun0\Desktop\KakaoTalk_20260630_155844277.png","KakaoTalk_20260630_155844277.png","png","791.71","2026-06-30","Desktop",""
"C:\Users\hyun0\Desktop\vibe_walking_ebook_outline.md","vibe_walking_ebook_outline.md","md","23.06","2026-06-27","Desktop",""
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[클래스101 비즈니스] AX 인사이트 리포트 - AX 실패하는 조직의 7가지 공통점.pdf","[클래스101 비즈니스] AX 인사이트 리포트 - AX 실패하는 조직의 7가지 공통점.pdf","pdf","2384.76","2026-06-29","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\마케팅반_워크북.html","마케팅반_워크북.html","html","362.11","2026-05-29","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\팀스파르타_2026 AX 교육 트렌드 리포트_ver2.pdf","팀스파르타_2026 AX 교육 트렌드 리포트_ver2.pdf","pdf","36776.04","2026-06-29","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서.Zip","AX_강사_육성_표준개요서.Zip","zip","7894.28","2026-06-25","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표_김현래_20260609.zip","AX수업_발표_김현래_20260609.zip","zip","34357.5","2026-06-10","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\LectureDeck_기획과정_설명자료.html","LectureDeck_기획과정_설명자료.html","html","29.96","2026-07-10","Desktop","AX강사준비"
