"폴더경로","파일수","총용량MB","가장오래된수정일","가장최근수정일","상위확장자3개"
"C:\Users\hyun0\Downloads","140","3744.97","2021-10-07","2026-09-01","png(43)|pdf(35)|zip(24)"
"C:\Users\hyun0\Desktop\ISMS\연습문제\문제","106","77.33","2024-05-20","2024-05-21","pdf(106)"
"C:\Users\hyun0\Desktop\ISMS\연습문제\해설","98","81.4","2024-04-26","2024-05-21","pdf(98)"
"C:\Users\hyun0\Documents\김현래\소개자료\SF_work\resources\images","85","7.2","2021-11-29","2021-12-03","png(81)|jpg(3)|gif(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_워크북_35차시","41","0.56","2026-05-27","2026-05-27","md(36)|html(2)|css(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시","36","0.32","2026-05-27","2026-05-27","md(36)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\마케팅반_강의안_35차시","36","0.33","2026-05-27","2026-05-27","md(36)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\마케팅반_워크북_35차시","36","0.25","2026-05-27","2026-05-27","md(36)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\마케팅반_워크북_PDF_35차시","35","82.84","2026-05-27","2026-05-27","pdf(35)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_워크북_PDF_35차시","35","82.84","2026-05-27","2026-05-27","pdf(35)"
"C:\Users\hyun0\Documents\카카오톡 받은 파일","25","23.58","2024-10-20","2026-07-10","pdf(20)|zip(4)|html(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\따라하기","24","0.31","2026-06-05","2026-06-05","md(17)|json(3)|ts(3)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\public\generated\drafts","22","44.09","2026-06-08","2026-06-08","png(22)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\NCP","21","4","2022-09-14","2022-11-16","pdf(15)|html(2)|jpg(1)"
"C:\Users\hyun0\Downloads\~BROMIUM","21","0.01","2021-10-07","2024-05-31","pdf(20)|zip(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\CSAP\NCP","21","4","2022-11-18","2022-11-18","pdf(15)|html(2)|jpg(1)"
"C:\Users\hyun0\Documents\파이선","17","0.85","2021-10-16","2021-10-16","zip(16)|pdf(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX수업_발표","17","34.69","2026-06-08","2026-06-08","png(15)|pdf(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\AX_강사_육성_표준개요서","17","9.29","2026-06-25","2026-06-25","pdf(17)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\docs","17","0.03","2026-06-08","2026-06-08","md(17)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기\docs","16","0.04","2026-06-05","2026-06-05","md(16)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\NCP\~BROMIUM","15","0.01","2022-09-14","2022-11-18","pdf(15)"
"C:\Users\hyun0\Documents\WAPL\2023년_IR","15","143.8","2022-11-15","2022-11-18","pptx(9)|xlsx(6)"
"C:\Users\hyun0\Documents\파이선\chapter05","15","0","2015-11-14","2015-11-15","py(15)"
"C:\Users\hyun0\Documents\김현래\소개자료\SF_work\html","15","0.09","2021-12-02","2021-12-03","html(15)"
"C:\Users\hyun0\Documents\김현래\소개자료\SF_work\resources\js","15","0.53","2022-08-06","2022-08-06","js(15)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\데모데이\RAG","14","33.91","2026-07-06","2026-07-07","png(4)|md(3)|pptx(3)"
"C:\Users\hyun0\Documents\WAPL\참고용","14","360.14","2022-07-21","2022-11-16","pptx(8)|hwp(3)|xlsx(2)"
"C:\Users\hyun0\Documents\파이선\chapter16","14","0.01","2016-03-07","2016-03-08","py(14)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영정략보고","14","693.37","2022-10-11","2022-10-15","pptx(11)|pdf(2)|xlsx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\개발및검수","13","0.01","2026-06-11","2026-06-11","md(13)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2\docs","13","0.02","2026-06-05","2026-06-05","md(13)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\exports\prj_1781240144578","12","1.34","2026-06-12","2026-06-12","md(8)|pptx(2)|html(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\public\comics","12","17.86","2026-06-08","2026-06-08","png(10)|json(1)|md(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\보안점검업체선정과정관련","12","2.23","2022-04-29","2022-09-05","pdf(7)|zip(3)|docx(1)"
"C:\Users\hyun0\Desktop\강의자료\251217_인천세일고","12","11.67","2025-11-26","2025-12-16","png(5)|hwp(4)|jpg(1)"
"C:\Users\hyun0\Documents\WAPL\서울시교육청","12","68.01","2022-09-22","2022-10-26","hwp(5)|xlsx(3)|pptx(2)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2\public\comics","12","17.86","2026-06-05","2026-06-05","png(10)|json(1)|md(1)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\CSAP\보안점검업체선정과정관련","12","2.23","2022-11-18","2022-11-18","pdf(7)|zip(3)|docx(1)"
"C:\Users\hyun0\Documents\WAPL\CSAP인증\신청서(SaaS표준, SaaS간편)","12","1.93","2022-10-05","2022-11-14","docx(4)|hwp(4)|xlsx(2)"
"C:\Users\hyun0\Documents\김현래\소개자료\SF_work\resources\css","11","0.82","2021-11-22","2021-12-02","css(11)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강\lib","11","0.04","2026-06-08","2026-06-08","ts(11)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기\기획서\AX_Lecture_Studio_V0.1_문서패키지","11","0.08","2026-06-10","2026-06-10","md(11)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\긴급2\찬반투표_서비스_개발문서","11","0.07","2026-06-09","2026-06-09","md(11)"
"C:\Users\hyun0\Documents\WAPL\퇴사\CS업무인계정리\한기대\공문","11","2.03","2022-11-18","2022-11-18","pdf(6)|docx(1)|hwp(1)"
"C:\Users\hyun0\Documents\WAPL\주간업무","11","2.1","2022-09-19","2022-11-15","docx(6)|pptx(4)|xlsx(1)"
"C:\Users\hyun0\Documents\WAPL\한기대\공문","11","2.03","2022-10-17","2022-11-09","pdf(6)|docx(1)|hwp(1)"
"C:\Users\hyun0\Documents\WAPL\2023년_경영기획_사업계획","11","5.12","2022-10-18","2022-10-26","xlsx(6)|jpg(4)|pptx(1)"
"C:\Users\hyun0\Documents\알티노\python(AltinoLite)\serial","10","0.16","2025-07-09","2025-07-09","py(10)"
"C:\Users\hyun0\Desktop\ISMS","10","62.5","2024-04-22","2024-07-09","pdf(6)|png(2)|docx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\AX강의안생성기_수업중\exports\lecture-project-001","10","0.31","2026-06-11","2026-06-11","md(7)|json(1)|pptx(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\260629_구글캘린더_할일관리\google-calendar-todo-lab","10","0.09","2026-06-29","2026-06-29","json(6)|ts(2)|html(1)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생성기_V2_보강","10","0.29","2026-06-08","2026-06-09","ts(4)|json(3)|md(3)"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\실습\웹툰생서기_v2","10","0.49","2026-06-05","2026-06-08","json(3)|md(3)|ts(3)"
"C:\Users\hyun0\Documents\파이선\chapter10","10","0","2015-11-30","2021-10-16","py(10)"
"C:\Users\hyun0\Documents\WAPL\제품소개","9","765.52","2022-10-18","2022-11-17","pptx(8)|pdf(1)"
"C:\Users\hyun0\Documents\WAPL\비즈메카","9","22.14","2022-07-20","2022-11-18","docx(4)|pptx(4)|xlsx(1)"
"C:\Users\hyun0\Documents\김현래\소개자료\김현래_포트폴리오\images","9","1.56","2024-12-05","2024-12-05","png(8)|jpg(1)"
